unique,name,model,price,favorite,likes,summary,horsepower,max_speed,acceleration_secs,drive,body,image1,image2,make_id
1,718 Cayman,Cayman Models,"$56,900.00",FALSE,0,"The Porsche 718 Cayman's joyful driving demeanor, powerful flat-four engines, and stunning styling make it one of our favorite sports cars—as evidenced by its regular appearance on one of our 10Best Cars. Sharing all but its hard top with the convertible 718 Boxster, the Cayman is a focused performance machine; and, as the entry-level Porsche sports car, its seriousness sets the stage for the rest of the lineup.",300,170,4.9,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-c7-modelimage-sideshot/thumbwhite/d3b4f82a-3356-11e8-bbc5-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-c7-editorial-l/normal/b68e508b-3356-11e8-bbc5-0019999cd470;sM/porsche-normal.jpg,1
2,718 Cayman S,Cayman Models,"$69,300.00",FALSE,0,"The Porsche 718 Cayman's joyful driving demeanor, powerful flat-four engines, and stunning styling make it one of our favorite sports cars—as evidenced by its regular appearance on one of our 10Best Cars. Sharing all but its hard top with the convertible 718 Boxster, the Cayman is a focused performance machine; and, as the entry-level Porsche sports car, its seriousness sets the stage for the rest of the lineup.",350,177,4.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-c7s-modelimage-sideshot/thumbwhite/3d15bd1f-970a-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-c7s-editorial-l/normal/50027db3-2b41-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
3,718 Boxster,Boxster Models,"$59,000.00",FALSE,0,"The Porsche 718 Boxster's sublime driving dynamics, punchy turbocharged flat-four engines, classic styling, and quickly folding soft top make it one heck of a sports car—one that we regularly add to our annual 10Best Cars list. Its low center of gravity and brilliant suspension give it tenacious grip in cornering and unflappable handling that together make even novice drivers feel like Steve McQueen. Most versions ride almost gracefully, enough to make the Boxster a comfortable daily commuter. It's not great for grocery runs, however—what with a small rear trunk situated atop the engine compartment and another tiny cargo box in the front trunk.",300,170,4.9,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-bo-modelimage-sideshot/thumbwhite/8f5e95df-970e-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-bo-editorial-l/normal/3f45d2b3-2b41-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
4,718 Boxster S,Boxster Models,"$71,400.00",FALSE,0,"The Porsche 718 Boxster's sublime driving dynamics, punchy turbocharged flat-four engines, classic styling, and quickly folding soft top make it one heck of a sports car—one that we regularly add to our annual 10Best Cars list. Its low center of gravity and brilliant suspension give it tenacious grip in cornering and unflappable handling that together make even novice drivers feel like Steve McQueen. Most versions ride almost gracefully, enough to make the Boxster a comfortable daily commuter. It's not great for grocery runs, however—what with a small rear trunk situated atop the engine compartment and another tiny cargo box in the front trunk.",350,177,4.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-bos-modelimage-sideshot/thumbwhite/126d52c0-970b-11e6-9f1b-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-bos-editorial-l/normal/3f45d2b4-2b41-11e7-9f74-0019999cd470;sJ/porsche-normal.jpg,1
5,718 Cayman GTS,GTS Models,"$80,700.00",FALSE,0,"The Porsche 718 Cayman's joyful driving demeanor, powerful flat-four engines, and stunning styling make it one of our favorite sports cars—as evidenced by its regular appearance on one of our 10Best Cars. Sharing all but its hard top with the convertible 718 Boxster, the Cayman is a focused performance machine; and, as the entry-level Porsche sports car, its seriousness sets the stage for the rest of the lineup.",365,180,4.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/982-718-c7-gts-modelimage-sideshot/thumbwhite/d1c3af54-ae78-11e7-b591-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/jdp-2016-982-718-c7-gts-editorial-l/normal/3d2bed9b-af2c-11e7-b591-0019999cd470;sJ/porsche-normal.jpg,1
6,718 Boxster GTS,GTS Models,"$82,800.00",FALSE,0,"The Porsche 718 Boxster's sublime driving dynamics, punchy turbocharged flat-four engines, classic styling, and quickly folding soft top make it one heck of a sports car—one that we regularly add to our annual 10Best Cars list. Its low center of gravity and brilliant suspension give it tenacious grip in cornering and unflappable handling that together make even novice drivers feel like Steve McQueen. Most versions ride almost gracefully, enough to make the Boxster a comfortable daily commuter. It's not great for grocery runs, however—what with a small rear trunk situated atop the engine compartment and another tiny cargo box in the front trunk.",365,180,4.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/982-718-bo-gts-modelimage-sideshot/thumbwhite/e61bf861-ae78-11e7-b591-0019999cd470;/porsche-thumbwhite.jpg,https://pics.porsche.com/rtt/iris?COSY-EU-100-17116bXqc6eP3Hi1qwT9HcnyInrHKxJTTPE3kUWFYRpwY4EJM%254x7Jm8Uv1T1FH18uWgds6yJ5ajSRlW9ACv8cOdzj8iaqiTyOFm0gBSZ3sMN59lH2dcf5EUlSRvyZnAYP51ZYSK%25D0PcfBDNEEjzs1Ssq4kdJ%25OuUSPvKQOubMbdk6gyx7Jh557CCLHnI8PXbsdgPi60O3eUWrzNjBIphMSGX6BqDP%2595W3FBvDTngY2lP4ikoE8n7,1
7,The new 911 Carrera S,Carrera S Models,"$113,300.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",443,191,3.5,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/992-c2s-modelimage-sideshot/thumbwhite/f49350d6-e826-11e8-bec8-0019999cd470;/porsche-thumbwhite.jpg,https://pics.porsche.com/rtt/iris?COSY-EU-100-17116bXqc6eP3Hi1qwT9HcnyInrHKxJTTPE3kUWFYRpwY4EJM%254x7Jm8Uv1T1FH18uWgds6yJ5EiSRlW9RCv8cOdzj8iaqiTyOFmavFRmVzxgT0CV2dcf5EUlSRvyZnAYP51ZYSK%25D0PcfBDNEEjzs1Ssq4kdJ%25OuUSPvKQOubMbdk6gyx7Jh557CCLHnI8PXbsdgPi60O3eUWrzNjBIphMSGX6BqDP%2595W3FBvDTngY2lP4ikoE8n7,1
8,The new 911 Carrera 4S,Carrera S Models,"$120,600.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",443,190,3.4,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/992-c4s-modelimage-sideshot/thumbwhite/446ee46d-f15e-11e8-bec8-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/galleryimagerwd/multimedia/none/modelseries-911carrera992-interior-04/zoom2/f2955baa-e75c-11e8-bec8-0019999cd470;sP/porsche-zoom2.jpg,1
9,The new 911 Carrera S Cabriolet,Carrera S Models,"$126,100.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",443,190,3.7,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/992-c2scab-modelimage-sideshot/thumbwhite/bada7a5b-fc69-11e8-8373-0019999cd470;/porsche-thumbwhite.jpg,https://files1.porsche.com/filestore/image/multimedia/none/model-series-911-carrera-992-ws-modul/preview/6cb27e02-f1ab-11e8-bec8-0019999cd470;sE/porsche-preview.jpg,1
10,The new 911 Carrera 4S Cabriolet,Carrera S Models,"$133,400.00",FALSE,0,"Porsche has deliberately evolved the 911 since its introduction in the 1960s to keep it true to its roots as the quintessential sports car. Instead of dramatically altering the car's styling, Porsche engineers have spent the past few decades perfecting every detail, making the 911 one of the most highly engineered automobiles available. Whether it be the sleek coupe, the sun-seeking convertible, or the striking Targa that is the best of both coupe and convertible worlds, the 911's range of powerful engines plays a distinct tune and quickly launch it to überlegal speeds.",443,188,3.6,RWD,coupe,https://files1.porsche.com/filestore/image/multimedia/none/992-c4scab-modelimage-sideshot/thumbwhite/c6ec382e-fc69-11e8-8373-0019999cd470;/porsche-thumbwhite.jpg,https://pics.porsche.com/rtt/iris?COSY-EU-100-17116bXqc6eP3Hi1qwT9HcnyInrHKxJTTPE3kUWFYRpwY4EJMG4x7Jm8Uv1T1FH18uWgds6yJ5EiSRlW9ACv8cOdzj8iaqiTyOFmT3BSZdIMN5Bqb2dcKpDk8EvrpQNgj35IKy9vs5yNP1Lc98EML4rrqAZsNZJxFkS1BVpN9jPnBVioikFm23UlSHvvlXXufIeG9aiZk29tmc8zhp4LbXga2ASElPKN%25gmOcA1Tugna8BILx7Un2vFhWrAmznRvYXZG5tFVP3e%254Xi,1
